abbreviation,expansion_pt,expansion_en
mv,murmúrio vesicular,vesicular murmur
mvf s/ra,murmúrio vesicular sem ruídos adventícios,vesicular murmur without adventitious sounds
npt,nutrição parenteral total,total parenteral nutrition
o2,oxigênio,oxygen
obst,obstrução,obstruction
p/,para,
p:,peso,weight
pa,pressão arterial,blood pressure
pa:,pressão arterial,blood pressure
pa adm,pressão arterial na admissão,blood pressure on admission
pavm,pneumonia associada a ventilação mecânica,pneumonia associated with mechanical ventilation
pifr,pupilas isofotorreagentes,isophotoreactive pupils
po,pós operatório,postoperative
qd:,motivo da internação,reason for hospitalization
rcp,reanimação cardiopulmonar,cardiopulmonary resuscitation
rcr 2t,rítmo cardíaco regular em dois tempos,regular heart rhythm in two beats
rcr,rítmo cardíaco regular,regular heart rhythm
reg,regular estado geral,regular general condition
rha,ruídos hidroaéreos,loose bowel sounds
rnc,rebaixamento do nível de consciencia,decreased level of consciousness
rnc.,rebaixamento do nível de consciencia,decreased level of consciousness
rnm,ressonância nuclear magnética,MRI
rnm craniana,ressonância nuclear magnética craniana,cranial MRI
rnm crânio,ressonância nuclear magnética craniana,cranial MRI
rnm lombar,ressonância nuclear magnética lombar,lumbar MRI
rnm sacral,ressonância nuclear magnética sacral,sacral MRI
rx,raio x,x-ray
rx torax,raio x de tórax,chest x-ray
rx tórax,raio x de tórax,chest x-ray
s. aureus,staphylococcus aureus,staphylococcus aureus
s/ra,sem ruídos adventícios,no adventitious sounds
sato2,saturação de oxigênio,oxygen saturation
sato2:,saturação de oxigênio,oxygen saturation
sem ra,sem ruídos adventícios,no adventitious sounds
sf,soro fisiológico,saline solution
sida,virus da imunodeficiência humana,human immunodeficiency virus
sne,sonda nasoenteral,nasoenteral tube
sng,sonda nasogátrica,nasogatric tube
spo2,saturação de oxigênio,oxygen saturation
ssvv,sinais vitais,vital signs
ssvv:,sinais vitais,vital signs
staphilo,staphylococcus aureus,staphylococcus aureus
sth aureus,staphylococcus aureus,staphylococcus aureus
sth. aureus,staphylococcus aureus,staphylococcus aureus
svd,sonda vesical de demora,indwelling urinary catheter
svd.,sonda vesical de demora,indwelling urinary catheter
tb pulmonar,tuberculose pulmonar,pulmonary tuberculosis
tbg,tabagismo,smoking
tc cranio,tomografia computadorizada de crânio,cranial computed tomography
tc crânio,tomografia computadorizada de crânio,cranial computed tomography
tc de crânio,tomografia computadorizada de crânio,cranial computed tomography
tce,trauma crânio encefálico,cranial trauma
tec,tempo de enchimento capilar,capillary refill time
tep,tromboembolismo pulmonar,pulmonary thromboembolism
tqt,traqueostomia,tracheostomy
traqueo,traqueostomia,tracheostomy
tto,tratamento,treatment
tvp,trombose venosa profunda,deep vein thrombosis
ubs,unidade básica de saúde,basic health unit
unid,unidade,unit
upa,unidade de pronto atendimento,emergency care unit
urc,urocultura,urine culture
us,ultrasonografia,ultrasonography
usg,ultrasonografia,ultrasonography
vanco,vancomicina,vancomycin
vit k,vitamina k,vitamin k
vm iot,ventilação mecânica e intubação orotraqueal,mechanical ventilation and orotracheal intubation
vmg,visceromegalias,visceromegaly
vni,ventilação não invasiva,noninvasive ventilation
vni.,ventilação não invasiva,noninvasive ventilation
vni:,ventilação não invasiva,noninvasive ventilation
insuf.,insuficiência,failure
icc,insuficiência cardíaca,heart failure
icc.,insuficiência cardíaca,heart failure
icc:,insuficiência cardíaca,heart failure
tmax,temperatura máxima,maximum temperature
tmax.,temperatura máxima,maximum temperature
tmax:,temperatura máxima,maximum temperature
vmec,ventilação mecânica,mechanical ventilation
vmec.,ventilação mecânica,mechanical ventilation
vmec:,ventilação mecânica,mechanical ventilation
vm,ventilação mecânica,mechanical ventilation
s. epidermidis,staphylococcus epidermidis,staphylococcus epidermidis
stafilo epidermidis,staphylococcus epidermidis,staphylococcus epidermidis
stafilo capitis,staphylococcus capitis,staphylococcus capitis
s. capitis,staphylococcus capitis,staphylococcus capitis
hctz,hidroclorotiazida,hydrochlorothiazide
cv:,ausculta cardíaca,cardiac auscultation
abd:,abdome,abdomen
abd,abdome,abdomen
meds,medicamentos,medications
eda,endoscopia digestiva alta,upper gastrointestinal endoscopy
eda.,endoscopia digestiva alta,upper gastrointestinal endoscopy
tc pelve,tomografia computadorizada de pelve,pelvis computed tomography
ext:,extremidades,extremities
neuro:,neurologia,neurology
neuro,neurologia,neurology
nora,noradrenalina,norepinephrine
iam,infarto agudo do miocárdio,acute myocardial infarction
cate,cateterismo,catheterization
ccp,cirurgia de cabeça e pescoço,head and neck surgery
dx,diagnóstico,diagnosis
unid,unidade,unit
s/s,sem sopros,no murmurs
staphy capitis,staphylococcus capitis,staphylococcus capitis
sth capitis,staphylococcus capitis,staphylococcus capitis
p:,peso,weight
acineto,acinetobacter,acinetobacter
aco,anticoagulante,anticoagulant
aco.,anticoagulante,anticoagulant
sang,sangramento,bleeding
p/,para,
plq,plaqueta,platelet
bil,bilateral,bilateral
vitb,vitamina b,vitamin b
fa,fibrilação atrial,atrial fibrillation
dir.,direita,right
esq. ,esquerda,left
feve,fração de ejeção do ventrículo esquerdo,left ventricular ejection fraction
feve:,fração de ejeção do ventrículo esquerdo,left ventricular ejection fraction
eco,ecocardiografia transtorácica,transthoracic echocardiography
eco:,ecocardiografia transtorácica,transthoracic echocardiography
tmax,temperatura máxima,maximum temperature
uco,unidade coronariana,coronary unit
dvp,derivação ventrículo-peritoneal,ventriculoperitoneal shunt
vo,via oral,oral
faarv,fibrilação atrial de alta resposta ventricular,atrial fibrillation with high ventricular response
cvc,cateter venoso central,central venous catheter
s. haemolyticus,staphylococcus haemolyticus,staphylococcus haemolyticus
s haemolyticus,staphylococcus haemolyticus,staphylococcus haemolyticus
p. aeruginosa,pseudomonas aeruginosa,pseudomonas aeruginosa
p aeruginosa,pseudomonas aeruginosa,pseudomonas aeruginosa
k. pneumoniae,klebsiella pneumoniae,klebsiella pneumoniae
k pneumoniae,klebsiella pneumoniae,klebsiella pneumoniae
eeg,eletroencefalograma,electroencephalogram
eeg.,eletroencefalograma,electroencephalogram
a. baumanii,acinetobacter baumanii,acinetobacter baumanii
a baumanii,acinetobacter baumanii,acinetobacter baumanii
cc,centro cirúrgico,surgical center
e. faecalis,enterococcus faecalis,enterococcus faecalis
e faecalis,enterococcus faecalis,enterococcus faecalis
cir,cirurgia,surgery
pcte,paciente,patient
sdr,síndrome,syndrome
cmv,citomegalovírus,cytomegalovirus
s. hominis,staphylococcus hominis,staphylococcus hominis
s hominis,staphylococcus hominis,staphylococcus hominis
s. warneri ,staphylococcus warneri,staphylococcus warneri
s warneri ,staphylococcus warneri,staphylococcus warneri
kpc,klebsiella pneumoniae carbapenemase,klebsiella pneumoniae carbapenemase
srda,sindrome do desconforto respiratório agudo,acute respiratory distress syndrome
covid,coronavírus ,coronavirus
covid19,coronavírus ,coronavirus
covid-19,coronavírus ,coronavirus
cov-19,coronavírus ,coronavirus
cov19,coronavírus ,coronavirus
coronavirus,coronavírus ,coronavirus
sars cov2,coronavírus ,coronavirus
sars cov,coronavírus ,coronavirus
p.aeruginosa,pseudomonas aeruginosa,pseudomonas aeruginosa
furo,furosemida,furosemide
cef,cefalexina,cephalexin
dobuta,dobutamina,dobutamine
dpn,dispnéia paroxística noturna,paroxysmal nocturnal dyspnea
cipro,ciprofloxacino,ciprofloxacin
metro,metronidazol,metronidazole
tp,tempo de protrombina,prothrombin time
inr,razão normalizada internacional,international normalized ratio
s.agalactie,streptococcus agalactiae,streptococcus agalactiae
bbloq,beta bloqueador,beta blocker
fnb,fenobarbital,phenobarbital
avp,ácido valpróico,valproic acid
amt,cloridrato de amitriptilina,amitriptyline hydrochloride
ac valproico,ácido valpróico,valproic acid
ac. valproico,ácido valpróico,valproic acid
pbe,peritonite bacteriana expontânea,bacterial peritonitis spontaneous
pav,pneumonia associada a ventilação mecânica,pneumonia associated with mechanical ventilation
sarscov2,coronavírus ,coronavirus
picc,cateter central de inserção periférica,peripherally inserted central catheter
vfd,veia femural direita,right femoral vein
vfe,veia femural esquerda,left femoral vein
vjd,veia jugular direita,right jugular vein
vje,veia jugular esquerda,left jugular vein
vjed direita,veia jugular externa,external jugular vein
vjee,veia jugular externa esquerda,left external jugular vein
vjid,veia jugular interna direita,right internal jugular vein
vjie,veia jugular interna esquerda,left internal jugular vein
vscd,veia subclávia direita,right subclavian vein
vsce,veia subclávia esquerda,left subclavian vein
les,lupus eritematoso sistemico,systemic lupus erythematosus
ira akin,insuficiencia renal aguda akin,acute renal failure akin
atbs,antibioticoterapia,antibiotic therapy
lra,lesão renal aguda,acute kidney injury
hmg,hemograma,complete blood count
extbg,ex tabagista,ex-smoker
avch,acidente vascular cerebral hemorrágico,hemorrhagic stroke
hip,hemorragia intraparenquimatosa,intraparenchymal hemorrhage
daop,doença arterial obstrutiva periférica,peripheral arterial occlusive disease
avci,acidente vascular cerebral isquêmico,ischemic stroke
uroc,urocultura,urine culture
hma,história doença atual,medical history
cp,comprimido,tablet
aas,acido acetil salicilico,acetylsalicylic acid
sat,saturação,saturation
sat.,saturação,saturation
vcm.,visceromegalias,visceromegaly
vcm,visceromegalias,visceromegaly
rass,escala de agitação sedação,agitation scale sedation
ndn.,nada digno de nota,nothing noteworthy
ndn,nada digno de nota,nothing noteworthy
t. depresssivo,transtorno depressivo,depressive disorder
t depressivo,transtorno depressivo,disorder depressive
dac,doença arterial coronária,coronary artery disease
actp,angioplastia coronariana transluminal percutânea primária,primary percutaneous transluminal coronary angioplasty
cpk,creatinofosfoquinase,creatine phosphokinase
c/,com,with
pic,cateter central de inserção periférica,peripherally inserted central catheter
